Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Gls/90,Ast,Ast/90,G+A,G+A/90,xG,xG/90,xAG,xAG/90,npxG,npxG/90,G-PK,G-PK/90,Tkl,Tkl/90,TklW,TklW/90,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks/90,Int,Int/90,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err,Err/90,DefAct,DefAct/90,PrgP,PrgP/90,PrgC,PrgC/90,KP,KP/90,Cmp%,Cmp%/90,SCA,SCA/90,Ast_stats_passing,Ast_stats_passing/90,xA,xA/90,PPA,PPA/90,GA,GA/90,Saves,Saves/90,Save%,Save%/90,CS,CS/90,CS%,CS%/90,PKA,PKA/90,PKsv,PKsv/90,Touches,Touches/90,Carries,Carries/90,PrgR,PrgR/90,Mis,Mis/90,Dis,Dis/90,CrdY,CrdY/90,CrdR,CrdR/90,PKwon,PKwon/90,PKcon,PKcon/90,Recov,Recov/90
1196,Oscar Højlund,DEN,MF,Eint Frankfurt,Bundesliga,19,20,7,722,8,1,0.1246537396,0,0,1,0.1246537396,1,0.1246537396,1.1,0.1371191136,1,0.1246537396,1,0.1246537396,21,2.617728532,12,1.495844875,8,9,4,15,1.869806094,5,0.6232686981,26,3.24099723,11,1.371191136,1,0.1246537396,40,4.986149584,49,6.108033241,17,2.119113573,6,0.7479224377,88,10.96952909,17,2.119113573,0,0,0.3,0.03739612188,4,0.4986149584,,0,,0,,0,,0,,0,,0,,0,497,61.95290859,291,36.27423823,9,1.121883657,18,2.243767313,11,1.371191136,0,0,0,0,0,0,0,0,40,4.986149584
1197,Rasmus Højlund,DEN,FW,Manchester Utd,Premier League,21,32,23,2004,22.3,4,0.1796407186,0,0,4,0.1796407186,5.3,0.2380239521,1.8,0.08083832335,5.3,0.2380239521,4,0.1796407186,3,0.1347305389,1,0.04491017964,0,2,1,6,0.2694610778,2,0.08982035928,5,0.2245508982,6,0.2694610778,0,0,11,0.494011976,18,0.8083832335,28,1.25748503,16,0.7185628743,74.7,3.354790419,34,1.526946108,0,0,1.1,0.0494011976,5,0.2245508982,,0,,0,,0,,0,,0,,0,,0,515,23.12874251,308,13.83233533,101,4.535928144,63,2.829341317,33,1.482035928,2,0.08982035928,0,0,1,0.04491017964,0,0,35,1.571856287
1198,Pablo Ibáñez,ESP,MF,Osasuna,La Liga,25,28,13,1294,14.4,1,0.06955177743,1,0.06955177743,2,0.1391035549,1.6,0.1112828439,1.6,0.1112828439,1.6,0.1112828439,1,0.06955177743,20,1.391035549,10,0.6955177743,7,12,1,20,1.391035549,18,1.251931994,38,2.642967543,21,1.460587326,0,0,58,4.034003091,51,3.547140649,21,1.460587326,6,0.4173106646,74.9,5.20942813,20,1.391035549,1,0.06955177743,0.4,0.02782071097,4,0.2782071097,,0,,0,,0,,0,,0,,0,,0,673,46.80834621,368,25.5950541,31,2.1561051,20,1.391035549,16,1.112828439,4,0.2782071097,0,0,0,0,0,0,56,3.894899536
1199,Hafiz Ibrahim,NGA,FW,Reims,Ligue 1,18,11,2,391,4.3,0,0,1,0.2301790281,1,0.2301790281,0.5,0.1150895141,0.6,0.1381074169,0.5,0.1150895141,0,0,3,0.6905370844,2,0.4603580563,0,1,2,4,0.9207161125,2,0.4603580563,5,1.150895141,6,1.381074169,0,0,9,2.071611253,2,0.4603580563,6,1.381074169,4,0.9207161125,60,13.81074169,4,0.9207161125,1,0.2301790281,0.1,0.02301790281,0,0,,0,,0,,0,,0,,0,,0,,0,109,25.08951407,51,11.73913043,16,3.68286445,19,4.373401535,8,1.841432225,2,0.4603580563,1,0.2301790281,0,0,0,0,14,3.222506394
1200,Arijon Ibrahimović,GER,MF,Lazio,Serie A,18,1,0,8,0.1,0,0,0,0,0,0,0.1,1.125,0,0,0.1,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,843.75,1,11.25,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,6,67.5,1,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,Arijon Ibrahimović,GER,FW,Bayern Munich,Bundesliga,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9000,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,3,270,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,Stanis Idumbo,BEL,"FW,MF",Sevilla,La Liga,19,14,3,284,3.2,1,0.3169014085,1,0.3169014085,2,0.6338028169,0.6,0.1901408451,0.7,0.2218309859,0.6,0.1901408451,1,0.3169014085,9,2.852112676,5,1.584507042,3,4,2,3,0.9507042254,4,1.267605634,13,4.11971831,2,0.6338028169,0,0,16,5.070422535,8,2.535211268,10,3.169014085,6,1.901408451,82.9,26.27112676,7,2.218309859,1,0.3169014085,0.1,0.03169014085,1,0.3169014085,,0,,0,,0,,0,,0,,0,,0,130,41.1971831,88,27.88732394,20,6.338028169,12,3.802816901,11,3.485915493,0,0,0,0,0,0,0,0,19,6.021126761
1203,Jay Idzes,IDN,DF,Venezia,Serie A,24,35,35,3127,34.7,1,0.02878157979,0,0,1,0.02878157979,1.8,0.05180684362,0.7,0.02014710585,1.8,0.05180684362,1,0.02878157979,45,1.295171091,29,0.8346658139,24,17,4,52,1.496642149,32,0.9210105532,77,2.216181644,156,4.489926447,0,0,129,3.712823793,84,2.417652702,15,0.4317236968,8,0.2302526383,86,2.475215862,24,0.6907579149,0,0,0.4,0.01151263192,4,0.1151263192,,0,,0,,0,,0,,0,,0,,0,2078,59.8081228,1051,30.24944036,15,0.4317236968,31,0.8922289735,7,0.2014710585,5,0.1439078989,0,0,0,0,3,0.08634473937,113,3.252318516
1204,Iglesias,ESP,DF,Getafe,La Liga,26,37,32,2888,32.1,0,0,1,0.0311634349,1,0.0311634349,1.6,0.04986149584,2.2,0.06855955679,1.6,0.04986149584,0,0,81,2.524238227,47,1.46468144,42,33,6,47,1.46468144,50,1.558171745,131,4.082409972,133,4.144736842,1,0.0311634349,177,5.515927978,84,2.617728532,32,0.9972299169,20,0.6232686981,57.1,1.779432133,59,1.838642659,1,0.0311634349,1.8,0.05609418283,24,0.7479224377,,0,,0,,0,,0,,0,,0,,0,1627,50.70290859,554,17.26454294,67,2.087950139,36,1.121883657,15,0.4674515235,4,0.1246537396,0,0,0,0,0,0,107,3.334487535
1205,Borja Iglesias,ESP,FW,Celta Vigo,La Liga,31,37,24,1952,21.7,11,0.5071721311,3,0.1383196721,14,0.6454918033,9.3,0.4287909836,3.2,0.1475409836,9.3,0.4287909836,11,0.5071721311,10,0.4610655738,9,0.4149590164,2,5,3,9,0.4149590164,7,0.3227459016,17,0.7838114754,10,0.4610655738,0,0,26,1.198770492,28,1.290983607,22,1.014344262,18,0.8299180328,70.8,3.264344262,36,1.659836066,3,0.1383196721,1.4,0.06454918033,9,0.4149590164,,0,,0,,0,,0,,0,,0,,0,685,31.5829918,396,18.25819672,108,4.979508197,62,2.858606557,32,1.475409836,2,0.09221311475,0,0,2,0.09221311475,0,0,46,2.120901639
